Class Name,Class Visibility,Class Library,Usage,Used In Library
org.slf4j.ILoggerFactory,public,org.slf4j:slf4j-api:1.7.7,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.pattern.DateConverter,public,ch.qos.logback:logback-classic:1.0.13,Class.forName,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-acl:4.9.2-SNAPSHOT
ch.qos.logback.core.BasicStatusManager,public,ch.qos.logback:logback-core:1.0.13,method call,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.protocol.header.UnregisterClientRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-acl:4.9.2-SNAPSHOT
org.slf4j.MDC,public,org.slf4j:slf4j-api:1.7.7,method call,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.ContextBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.srvutil.FileWatchService,public,org.apache.rocketmq:rocketmq-srvutil:4.9.2-SNAPSHOT,Class.forName,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,cast,org.apache.rocketmq:rocketmq-acl:4.9.2-SNAPSHOT
java.util.HashSet,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
sun.nio.fs.UnixFileSystemProvider,public,unknownLib,Class.forName,ch.qos.logback:logback-classic:1.0.13
java.sql.Timestamp,public,java.sql,instantiation,com.alibaba:fastjson:1.2.76
ch.qos.logback.classic.encoder.PatternLayoutEncoder,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.common.PlainAccessConfig,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.heartbeat.SubscriptionData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
ch.qos.logback.classic.joran.action.ConfigurationAction,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.classic.joran.action.JMXConfiguratorAction,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.classic.pattern.LineSeparatorConverter,public,ch.qos.logback:logback-classic:1.0.13,Class.forName,ch.qos.logback:logback-core:1.0.13
java.lang.Object,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.xml.sax.InputSource,public,xml-apis:xml-apis:1.0.b2,instantiation,ch.qos.logback:logback-core:1.0.13
java.sql.Date,public,java.sql,instantiation,com.alibaba:fastjson:1.2.76
ch.qos.logback.classic.joran.action.ConsolePluginAction,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.core.spi.ContextAwareBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.spi.ContextAware,public,ch.qos.logback:logback-core:1.0.13,cast,ch.qos.logback:logback-classic:1.0.13
java.nio.file.Path,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
ch.qos.logback.core.boolex.Matcher,public,ch.qos.logback:logback-core:1.0.13,cast,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.spi.AppenderAttachableImpl,public,ch.qos.logback:logback-core:1.0.13,method call,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.joran.spi.DefaultNestedComponentRegistry,public,ch.qos.logback:logback-core:1.0.13,method call,ch.qos.logback:logback-classic:1.0.13
javax.management.ObjectName,public,unknownLib,Class.forName,ch.qos.logback:logback-classic:1.0.13
sun.reflect.NativeMethodAccessorImpl,default,unknownLib,Class.forName,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.status.WarnStatus,public,ch.qos.logback:logback-core:1.0.13,instantiation,ch.qos.logback:logback-classic:1.0.13
java.lang.reflect.Type,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
java.nio.file.Files,public,unknownLib,Class.forName,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.PlainAccessConfig,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
ch.qos.logback.core.joran.JoranConfiguratorBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.pattern.LineSeparatorConverter,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.core.joran.action.Action,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.LoggerContext,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.classic.pattern.DateConverter,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.classic.joran.action.LoggerAction,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
java.lang.Integer,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
java.util.Map,public,unknownLib,Class.forName,org.yaml:snakeyaml:1.19
ch.qos.logback.core.status.InfoStatus,public,ch.qos.logback:logback-core:1.0.13,instantiation,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.pattern.MessageConverter,public,ch.qos.logback:logback-classic:1.0.13,Class.forName,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.remoting.protocol.SerializeType,public,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.heartbeat.ConsumerData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,cast,org.apache.rocketmq:rocketmq-acl:4.9.2-SNAPSHOT
ch.qos.logback.classic.LoggerContext,public,ch.qos.logback:logback-classic:1.0.13,method call,org.slf4j:slf4j-api:1.7.7
ch.qos.logback.classic.joran.action.EvaluatorAction,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
org.xml.sax.helpers.AttributesImpl,public,xml-apis:xml-apis:1.0.b2,method call,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.remoting.protocol.RemotingCommand,public,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
ch.qos.logback.classic.pattern.LevelConverter,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
ch.qos.logback.core.joran.action.AbstractEventEvaluatorAction,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.pattern.PatternLayoutEncoderBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.ServiceThread,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,subtyping,org.apache.rocketmq:rocketmq-srvutil:4.9.2-SNAPSHOT
ch.qos.logback.core.joran.conditional.ElseAction,public,ch.qos.logback:logback-core:1.0.13,instantiation,ch.qos.logback:logback-classic:1.0.13
org.slf4j.helpers.FormattingTuple,public,org.slf4j:slf4j-api:1.7.7,method call,ch.qos.logback:logback-classic:1.0.13
java.sql.Date,public,java.sql,cast,com.alibaba:fastjson:1.2.76
