SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.jboss.shrinkwrap.resolver.impl.maven.ConfigurableMavenResolverSystemImpl	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.maven.ConfigurableMavenResolverSystem	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	1
org.jboss.shrinkwrap.resolver.impl.maven.MavenResolverSystemBaseImpl	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.maven.MavenResolverSystemBase	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	1
org.springframework.aop.AopInvocationException	org.springframework:spring-aop:4.1.4.RELEASE	org.springframework.core.NestedRuntimeException	public	org.springframework:spring-core:4.1.4.RELEASE	1
org.apache.myfaces.view.facelets.el.ValueExpressionMethodExpression	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.faces.FacesWrapper	public	org.apache.myfaces.core:myfaces-api:2.2.9	1
org.jboss.weld.interceptor.util.ReflectionUtils$2	org.jboss.weld:weld-core:1.1.33.Final	java.security.PrivilegedAction	public	java.security	1
org.codehaus.groovy.reflection.CachedConstructor$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.jboss.interceptor.builder.BuildableInterceptionModel	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionModel	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.apache.commons.logging.LogFactory$1	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.apache.commons.logging.LogFactory$2	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.apache.commons.logging.LogFactory$3	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.slf4j.ext.LoggerWrapper	org.slf4j:slf4j-ext:1.7.2	org.slf4j.Logger	public	org.slf4j:slf4j-api:1.7.21	1
org.jboss.shrinkwrap.resolver.api.maven.ConfigurableMavenResolverSystemBase	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.ConfigurableResolverSystem	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	1
org.codehaus.groovy.vmplugin.v7.Java7$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.jboss.weld.logging.WeldMessageConveyor$ComputeMessagePrefix	org.jboss.weld:weld-core:1.1.33.Final	com.google.common.cache.CacheLoader	public	com.google.guava:guava:15.0	1
org.apache.commons.logging.LogFactory$4	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.apache.commons.logging.LogFactory$6	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.slf4j.cal10n.LocLogger	org.slf4j:slf4j-ext:1.7.2	org.slf4j.Logger	public	org.slf4j:slf4j-api:1.7.21	1
org.jboss.shrinkwrap.resolver.api.SecurityActions$GetTcclAction	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	java.security.PrivilegedAction	public	java.security	1
org.jboss.interceptor.util.ReflectionUtils$2	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	java.security.PrivilegedAction	public	java.security	1
ysoserial.payloads.JavassistWeld1$1	ysoserial:ysoserial:0.0.6-SNAPSHOT	org.jboss.weld.interceptor.spi.instance.InterceptorInstantiator	public	org.jboss.weld:weld-core:1.1.33.Final	1
java.sql.SQLPermission	java.sql	java.security.BasicPermission	public	java.security	1
org.apache.commons.logging.impl.LogFactoryImpl$1	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.springframework.aop.framework.AopConfigException	org.springframework:spring-aop:4.1.4.RELEASE	org.springframework.core.NestedRuntimeException	public	org.springframework:spring-core:4.1.4.RELEASE	1
org.jboss.shrinkwrap.resolver.api.maven.MavenResolverSystemBase	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.ResolverSystem	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	1
org.apache.commons.logging.impl.LogFactoryImpl$2	commons-logging:commons-logging:1.1.1	java.security.PrivilegedAction	public	java.security	1
org.apache.myfaces.view.facelets.el.ValueExpressionMethodExpression	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.el.MethodExpression	public	org.mortbay.jasper:apache-el:8.0.27	1
org.jboss.weld.interceptor.proxy.InterceptorMethodHandler$1	org.jboss.weld:weld-core:1.1.33.Final	javassist.util.proxy.MethodHandler	public	org.javassist:javassist:3.19.0-GA	1
org.jboss.interceptor.proxy.SimpleInterceptionChain	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.context.InterceptionChain	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.codehaus.groovy.reflection.CachedClass$2$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.jboss.interceptor.reader.DefaultMethodMetadata	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.metadata.MethodMetadata	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.jboss.shrinkwrap.resolver.impl.maven.ConfigurableMavenResolverSystemBaseImpl	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.maven.ConfigurableMavenResolverSystemBase	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	1
ysoserial.payloads.JBossInterceptors1$1	ysoserial:ysoserial:0.0.6-SNAPSHOT	org.jboss.interceptor.spi.instance.InterceptorInstantiator	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.reflections.util.FilterBuilder	org.reflections:reflections:0.9.9	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
java.sql.DriverManager$2	java.sql	java.security.PrivilegedAction	public	java.security	1
java.sql.DriverManager$1	java.sql	java.security.PrivilegedAction	public	java.security	1
org.jboss.weld.interceptor.proxy.InterceptorMethodHandler	org.jboss.weld:weld-core:1.1.33.Final	javassist.util.proxy.MethodHandler	public	org.javassist:javassist:3.19.0-GA	1
org.jboss.interceptor.reader.ClassMetadataInterceptorReference	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.metadata.InterceptorReference	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.jboss.shrinkwrap.resolver.api.maven.MavenResolveStageBase	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api-maven:2.2.6	org.jboss.shrinkwrap.resolver.api.ResolveWithRangeSupportStage	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	1
org.slf4j.impl.JDK14LoggerFactory	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.ILoggerFactory	public	org.slf4j:slf4j-api:1.7.21	1
org.jboss.weld.logging.WeldMessageConveyor	org.jboss.weld:weld-core:1.1.33.Final	ch.qos.cal10n.MessageConveyor	public	ch.qos.cal10n:cal10n-api:0.7.7	1
org.slf4j.impl.StaticMarkerBinder	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.spi.MarkerFactoryBinder	public	org.slf4j:slf4j-api:1.7.21	1
org.codehaus.groovy.reflection.stdclasses.CachedSAMClass$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.reflections.vfs.SystemDir$1$1	org.reflections:reflections:0.9.9	com.google.common.collect.AbstractIterator	public	com.google.guava:guava:15.0	1
org.slf4j.impl.JDK14LoggerAdapter	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.spi.LocationAwareLogger	public	org.slf4j:slf4j-api:1.7.21	1
org.jboss.interceptor.proxy.InterceptorInvocationContext	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	javax.interceptor.InvocationContext	public	org.jboss.spec.javax.interceptor:jboss-interceptors-api_1.1_spec:1.0.0.Beta1	1
org.apache.myfaces.context.servlet.FacesContextImplBase	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.faces.context.FacesContext	public	org.apache.myfaces.core:myfaces-api:2.2.9	1
org.jboss.interceptor.proxy.DefaultInvocationContextFactory	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.context.InvocationContextFactory	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
org.jboss.weld.interceptor.proxy.InterceptorInvocationContext	org.jboss.weld:weld-core:1.1.33.Final	javax.interceptor.InvocationContext	public	org.jboss.spec.javax.interceptor:jboss-interceptors-api_1.1_spec:1.0.0.Beta1	1
groovy.lang.MetaClassImpl$15	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedExceptionAction	public	java.security	1
org.jboss.interceptor.proxy.InterceptorMethodHandler	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	javassist.util.proxy.MethodHandler	public	org.javassist:javassist:3.19.0-GA	1
org.jboss.interceptor.proxy.InterceptorMethodHandler$1	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	javassist.util.proxy.MethodHandler	public	org.javassist:javassist:3.19.0-GA	1
org.jboss.interceptor.reader.SimpleInterceptorMetadata	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.metadata.InterceptorMetadata	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	1
javassist.util.proxy.ProxyObject	javassist:javassist:3.12.0.GA	javassist.util.proxy.Proxy	public	org.javassist:javassist:3.19.0-GA	1
org.apache.myfaces.context.servlet.ServletExternalContextImplBase	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.faces.context.ExternalContext	public	org.apache.myfaces.core:myfaces-api:2.2.9	1
org.slf4j.impl.StaticLoggerBinder	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.spi.LoggerFactoryBinder	public	org.slf4j:slf4j-api:1.7.21	1
org.jboss.shrinkwrap.resolver.spi.loader.SecurityActions$1	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	java.security.PrivilegedExceptionAction	public	java.security	1
org.apache.myfaces.el.unified.FacesELContext	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.el.ELContext	public	org.mortbay.jasper:apache-el:8.0.27	1
org.codehaus.groovy.reflection.CachedClass$1$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.slf4j.impl.JDK14LoggerAdapter	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.helpers.MarkerIgnoringBase	public	org.slf4j:slf4j-api:1.7.21	1
org.codehaus.groovy.reflection.CachedClass$3$1	org.codehaus.groovy:groovy:2.3.9	java.security.PrivilegedAction	public	java.security	1
org.apache.myfaces.el.CompositeELResolver	org.apache.myfaces.core:myfaces-impl:2.2.9	javax.el.CompositeELResolver	public	org.mortbay.jasper:apache-el:8.0.27	1
org.reflections.Store$1	org.reflections:reflections:0.9.9	com.google.common.base.Supplier	public	com.google.guava:guava:15.0	1
org.reflections.util.FilterBuilder$Matcher	org.reflections:reflections:0.9.9	com.google.common.base.Predicate	public	com.google.guava:guava:15.0	1
