SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.h2.jdbc.JdbcSQLInvalidAuthorizationSpecException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLInvalidAuthorizationSpecException	public	java.sql	1
org.h2.jdbc.JdbcBatchUpdateException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.BatchUpdateException	public	java.sql	1
com.sun.tools.javac.api.ClientCodeWrapper$WrappedFileObject	com.sun:tools:1.8	javax.tools.FileObject	public	javax.tools	1
org.h2.tools.SimpleResultSet	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.ResultSetMetaData	public	java.sql	1
org.apache.lucene.codecs.idversion.VersionBlockTreeTermsWriter	org.apache.lucene:lucene-sandbox:8.5.2	org.apache.lucene.codecs.FieldsConsumer	public	org.apache.lucene:lucene-core:8.5.2	1
org.apache.lucene.codecs.idversion.IDVersionPostingsFormat	org.apache.lucene:lucene-sandbox:8.5.2	org.apache.lucene.codecs.PostingsFormat	public	org.apache.lucene:lucene-core:8.5.2	1
org.h2.tools.SimpleResultSet	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.ResultSet	public	java.sql	1
org.apache.lucene.util.RamUsageEstimator$1	org.apache.lucene:lucene-core:8.5.2	java.security.PrivilegedAction	public	java.security	1
com.sun.tools.javac.processing.JavacMessager	com.sun:tools:1.8	javax.annotation.processing.Messager	public	javax.annotation.processing	1
org.h2.jdbc.JdbcSQLNonTransientConnectionException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLNonTransientConnectionException	public	java.sql	1
org.h2.jdbc.JdbcClob	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.Clob	public	java.sql	1
org.h2.jdbc.JdbcSQLTransactionRollbackException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLTransactionRollbackException	public	java.sql	1
org.h2.jdbc.JdbcSQLDataException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLDataException	public	java.sql	1
org.h2.jdbc.JdbcSQLFeatureNotSupportedException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLFeatureNotSupportedException	public	java.sql	1
java.sql.SQLPermission	java.sql	java.security.BasicPermission	public	java.security	1
org.h2.tools.SimpleResultSet$SimpleArray	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.Array	public	java.sql	1
org.h2.jdbc.JdbcSQLIntegrityConstraintViolationException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLIntegrityConstraintViolationException	public	java.sql	1
org.h2.jdbc.JdbcSQLTimeoutException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLTimeoutException	public	java.sql	1
org.h2.jdbc.JdbcSQLTransientException	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.SQLTransientException	public	java.sql	1
javax.xml.parsers.FactoryFinder$1	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
javax.xml.parsers.SecuritySupport$1	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
javax.xml.parsers.SecuritySupport$2	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
org.h2.server.web.WebServlet	com.h2database:h2:2.0.201-SNAPSHOT	javax.servlet.http.HttpServlet	public	javax.servlet:javax.servlet-api:4.0.1	1
org.h2.jdbc.JdbcResultSetMetaData	com.h2database:h2:2.0.201-SNAPSHOT	java.sql.ResultSetMetaData	public	java.sql	1
javax.xml.parsers.SecuritySupport$5	javax.xml.parsers	java.security.PrivilegedAction	public	java.security	1
